binary,multiclass,translate_german
Not Hope,Sarcasm,"Ich habe wahrscheinlich die Zeit verschwendet, diese Debatte zu schaffen. jeder weiß, dass Schwarze mehr Verbrechen als andere Rassen begehen. wer in ihrem rechten Geist wird mit diesem zu argumentieren? oh warten, aveskde würde mit einem Schild argumentieren, wenn es entscheidend war, seine fantastische Weltanschauung zusammen zu halten, vielleicht wird er beißen. :) Sie projizieren. Sie werden feststellen, dass wenige Dinge mich verärgern oder emotional motivieren."
Not Hope,Sarcasm,"Das habe ich auch gehört. Der Bürgerrechtsaktivist war ein Luney-Ton. ""Du würdest auch einen Fernseher stehlen, wenn es darum ging, für eine Formel zu handeln, damit dein Baby essen könnte."" Puhleeeeze...... emoticonXRolleyes Gib mir eine Pause."
Not Hope,Sarcasm,"ER, du machst den Gott-Komplex wieder. Sandra Fluke könnte nicht einmal die Geburtskontrolle verwenden, weil sie sehr gut celibate sein könnte. Nur Gott ... und ER, der glaubt, er ist Gott ... wissen."
Not Hope,Sarcasm,"Lassen Sie es den netten Leuten von Hutch, auf mich zu schreien, ""Essen Scheiß"" während ich laufen. Witze auf sie, ich tun."
Not Hope,Sarcasm,"Ich kann nicht glauben, dass Sie versuchen würden, eine solche verrückte Behauptung zu machen. Klar, Gott sprach über homosexuellen Sex, aber ich bin nicht überrascht, dass Sie die eindeutigsten biblischen Referenzen ausgelassen haben. emoticonXRolleyes"
Not Hope,Sarcasm,"Sie meinen, Sie denken nicht, dass Sie Ihre eigene verfasserte Religion haben?? Wie interessant! Glauben Sie wirklich, dass Sie Gott täuschen? Oder uns?? Oder selbst??"
Not Hope,Sarcasm,"weder; er war ein Deist, der fühlte, dass der Großteil des Christentums lächerlich war. [Quelle] klar, jefferson 'eine echte Christen' ist kaum überhaupt eine echte Christen. in der Tat, jefferson fühlte, dass die Überzeugungen, die Evangelisten halten heute waren absurd und irrational. anstatt meine Punkte in der geringsten Weise zu behandeln, besteht Ihre Antwort vollständig aus diesem. (Denken Sie, ich bin überrascht?) und Sie irgendwie denken, dass ich derjenige bin, der besiegt wird? aber dann, mit Ihrem 'Verstehen' der Logik, niemand überrascht."
Not Hope,Sarcasm,"Ich liebe, wie die rechten Wingnuts denken, dass obama ein sozialistischer muslimisch ist, wenn ihre eigene mental defekte vp Nominierte ist ein Praktizierender Mitglied der fünfzehnten Kirche, und ein Schöpfungstheoretiker. zumindest obama's Kopf ist richtig gekratzt."
Hope,Sarcasm,"@inkofreality @StrangerTings1 @nytimes Du bist so nah am Verständnis von Grundlinienstellungen. Du kannst dahin kommen, ich glaube an dich!"
Not Hope,Sarcasm,"Geräuscht wie ein Amerikaner in einem großen SUV, der auf $4/ Gallonen Benzin mit einer maxed-out Kreditkarte hört, fundamentalistisches Radio sprechen."
Not Hope,Sarcasm,"Ich schmerzte meinen Fuß wie vor 3 Tagen, ich habe keine Ahnung, wie, aber es schmerzt, Druck auf ihn zu setzen."
Not Hope,Sarcasm,"Oops, Typo. Entschuldigung, mein schlechtes. Ich stelle mir vor, dass es genauso schwer ist, eine Waffe in die USA zu vertreiben wie in das Vereinigte Königreich, obwohl ich Ihnen das nicht erlauben darf, in Ihrer Suche nach winzigen Löchern in meinem Argument zu entmutigen. Wenn ein Typo, das den Punkt des Arguments nicht wirklich verändert hat, der Abgrund war, bin ich ziemlich stolz auf mich selbst."
Not Hope,Sarcasm,"Ich trinke nicht und ich bin nicht übergewichtig. Aber ich wette, Sie haben eine schlechte Gewohnheit mit Junk-Food und FOX Nachrichten / Kochkartoffeln. Mit einem Sixpack an Ihrer Seite."
Not Hope,Sarcasm,Die Reiterhoe wurde durch die Überflut im Bild der unbefleckten Reiterhoe gebogen. bereue Heiden!
Not Hope,Sarcasm,"Was auch immer. Zuerst sagen Sie, niemand nennt Sie ein Heuchler, als Sie sagen, dass Leute es tun, aber es ist nur eine Angriffstaktik. Wenn Sie jemals zu einem geistigen Zustand kommen, wo Sie die Möglichkeit unterhalten können, dass ein critisism von Ihnen in der Realität gestützt werden kann, als zurück zu meinem Post, wo ich sage, ""Das ist, warum ..."" und geben Sie es ein Lesen wieder. Vielleicht werden Sie somethig lernen. Bis dahin..."
Not Hope,Sarcasm,"Ja ja was auch immer und es gibt auch homosexuelle Katholiken. Der Punkt ist, dass die überwiegende Mehrheit der Taufe sind die <Bezeichnung, die verboten wurde>"
Not Hope,Sarcasm,"Und Ihre Lösung für die gegenwärtige Wirtschaftskrise ist? Warten Sie, Sie haben keine, es ist einfacher, ein Sesselkrieger zu sein und kritisieren, anstatt vorzuschlagen.emoticonXAngry"
Not Hope,Sarcasm,"warum müssen sie das akzeptieren? warum sucht die Regierung nicht einfach eine Lösung, die beide Parteien zufrieden stellt? o ja, denn das würde dieses tolle Thema zur Wahlzeit beseitigen."
Not Hope,Sarcasm,"Sie wetten. Haben Sie ein biblisches Problem mit dem, 'O ""Jesus""? Oder sind Sie nicht vertraut mit Ihrem eigenen inspirierten Wort?"
Hope,Sarcasm,"was part about 'what I am going to do is use my influence to convince politicians to pass common sense gun-control laws' du verstehst nicht? kannst du einfach Englisch verstehen? ich sagte nichts über persönlich zu Ihrem Eigentum gehen und nehmen Sie Ihre Waffen weg. vermuten Sie, jemand wollte die Geschwindigkeitsgrenze gesenkt werden. kelvin's Argument gegen das wäre wie dies- 'werden Sie wirklich glauben, dass? glauben Sie wirklich so viel, dass Sie bereit wären, um für Ihre Überzeugung zu sterben? dann laufen Sie mitten in der Straße, wenn Sie einen schnellen Auto sehen und hoffen, dass, wenn der Fahrer Sie sieht, er / sie wird verlangsamen. bitte niemand anderes, es zu tun. riskieren Sie Ihr eigenes Leben, indem Sie mitten in der Straße laufen.'"
Not Hope,Sarcasm,"Denken Sie an diese Zeit Blizzard hatte die geniale Idee, alle Namen auf ihren Foren zu ihren echten Namen zu ändern. Gott, was für eine Idee das war."
Not Hope,Sarcasm,"Und es könnte auch liberale Aliens gewesen sein!Oooh. Können wir sie homosexuelle illegale Einwanderer machen? Ich mag diese Ausrichtung! Vielleicht sprachen sie über, wie er ""terrorisiert"" Menschen mit seinem Modesinn? Oder vielleicht war der ""terroristische"" Kommentar nicht einmal in Bezug auf etwas Palin sagte auch. Vielleicht dachte einer der Jungs, er sah Osama bin Laden im Publikum!YOU DON'T KNOW!emoticonXDonno"
Not Hope,Sarcasm,"Nun wie wäre es mit der eigentlichen Reaktion auf meinen Beitrag oben, der eine Antwort auf Ihren vorherigen Angriffspost war!!!"
Not Hope,Sarcasm,Was scheint Berge für andere homosexuelle Rechte Anhänger sind nur Mole Hügel für youemoticonXHoho
Not Hope,Sarcasm,"Reading Difficulties, huh? Es gibt eine Heilung dafür. Es heißt Schule. Vielleicht sollten Sie dorthin gehen....."
Not Hope,Sarcasm,"Nun, mit dem Denken herausgeforderte Individuen wie slimjim schwimmen um es ist kein Wunder, dass wir eine rogue Agentur ohne Überwachung haben, die die ehrlichen Bürger angreifen. Siehe Ruby Ridge und Waco für Beispiele."
Not Hope,Sarcasm,"Also sind Sie Pro-Life und hassen Sie Liberale? Eigentlich Republikaner sind Liberale in diesem Fall (liberal=großere Regierung, mehr Gesetze). Aber ich nehme an, Sie meinen Demokraten in diesem. Was, wenn das Baby ein Demokrat ist? Wenn es ein demokratischer Elternteil ist, ist es wahrscheinlich, dass es demokratisch aufwachsen wird und noch eine Person versucht, Abtreibung legal zu halten."
Not Hope,Sarcasm,"Dann hättest du erwartet, dass er auf der Show mutig wäre. Er war im Grunde nur da; er machte keine würdigen Kommentare. Es war so schlimm, dass er auf eine emotionale Hypothese zurückgreifen musste. Er machte keinen Sinn, und dieser Kommentar hatte keinen Teil in der Interview. Bush sendet keine Kinder in den Irak. Erstens sind sie freiwillig. Zweitens sind sie älter als 18. Bitte lassen Sie mich wissen, welche Kommentare Michael Moore gemacht hat, die Sie als würdig hielten. Sie könnten Probleme haben."
Hope,Sarcasm,"Nun, das lässt die meisten des obersten Gerichts, wenn RvW kommt! Und natürlich 1/2 geben oder nehmen der Wähler wären unqualifiziert, wenn relevante Fragen kommen zu einer Abstimmung. Vielleicht sollten wir anfangen, einen Anstrengung, um die Verfassung zu ändern, um Ihre Idee zu integrieren!"
Not Hope,Sarcasm,"was hat der Big Bang mit der Evolution zu tun? Oh ja, ich weiß, NICHT Noch einmal zeigt Peddler, dass er praktisch kein Verständnis für die Evolution hat."
Not Hope,Sarcasm,"Oh, das ist nicht politisch kerect und secially wif der gewählte macht die Welt-Entschuldigung Toure Ich sehe nicht, dass geht unten. Nun legen Sie uns ein paar auf sündigen Baby. Geben Sie uns den Deal."
Not Hope,Sarcasm,"Mehr irrationeller Antrieb, und haben Sie vergessen, dass ich ein Araber bin? Eine kleinere Minderheit in diesem Land als Schwarze? Dennoch müssen Sie die Rasskarte spielen und davon ausgehen, dass, weil ich gegen diese kriminelle Frau für die Bedrohung des Lebens ihres ungeborenen Kindes, indem sie tatsächlich verantwortlich für ihr eigenes schlechtes Verhalten hält, dass ich irgendwie ein Rassismus bin. Ihr Argument ist so pathetisch wie Ihr Charakter gefunden wird wollend, Sie unmoralische Verteidiger für alles, was falsch mit diesem Land ist."
Hope,Sarcasm,"Du hast tatsächlich etwas gepostet, das Sinn machte und auch lustig war, vielleicht gibt es noch Hoffnung für dich."
Hope,Sarcasm,oh man! was passiert? ich stimmen für das 2. Kommen Christi ist nahe!
Not Hope,Sarcasm,"mein Hass für Ungerechtigkeit gegen deine Liebe dafür? Holen Sie sich einen neuen Hund, brummer."
Not Hope,Sarcasm,"Sprechen Sie über inkohärente Wunschdenken. Statt unbegründete Ansprüche und unbegründete Angriffe, warum bieten Sie nicht, oh, ich weiß nicht, mybe einige peer-reviewed EVIDENCE? Sie wissen, die kleine alte Sache, die für jeden erforderlich ist, um Ihre wilden Ansprüche sogar fern ernst zu nehmen?"
Not Hope,Sarcasm,"Hey weiß jemand von irgendwelchen Organisationen, die massive Bestände von Geld haben, die super nützlich für die Welt während einer öffentlichen Krise sein könnten?????"
Not Hope,Sarcasm,"Verdammt, braucht es einige echte Gonads (Warten Sie, Sie sind ein Lib, so kratzen Sie THAT einen) um die Macht zu beanspruchen, in den Köpfen und Herzen der Massen zu gelangen...Ein Protest von Konservativen MUST rassisch sein, aber ein Protest von Libs ist rein und gerecht, richtig?"
Not Hope,Sarcasm,"emoticonXKill emoticonXKill emoticonXKill Ich habe 7,62 Gründe, warum dies nie funktionieren würde...... Wir haben auch eine Trumpfkarte.... Es heißt die Verfassung."
Not Hope,Sarcasm,"So sind Sie ein Experte in diesem, wie Sie über die Wirtschaft des Sendens von Geld aus dem Land waren?Das Problem mit dem zulassen, dass Leute wie Sie die Schusse rufen, ist, dass Sie wirklich keine Vorstellung davon haben, was Sie reden.Es ist etwas, das ich in vielen Konservativen sehe."
Not Hope,Sarcasm,"Warum sind Sie Linken nicht in der Lage, tatsächlich auf dem Thema zu bleiben und auf das zu reagieren, was ein Gegner tatsächlich sagt? Auf einer Seite, es sieht hässlich dort draußen für die Sozialistische Partei. Es sieht aus, wie viele Amerikaner tun, was ich getan habe und stimmen einen geraden republikanischen Ticket. Der Rust Belt sieht auch mehr und mehr, wie es wird republikanisch und wenn das passiert, ist es alle vorbei für die Sozialisten. Der Senat wird auch zu einer republikanischen Mehrheit übergeben, wenn der Rust Belt weiter rechts zu drehen. Glück für alle. emoticonXBye NICHT REAL, nur für die Konservativen. emoticonXAgree emoticonXRolleyes"
Hope,Sarcasm,":p Ich wünschte! Wenn ich es tat, wäre ich so reich wie die Kirche, die tut. emoticonXHoho"
Not Hope,Sarcasm,"also deine Aussage dr. tiggerroo, dass meine Eltern beschlossen, dass ich gay für mich sein würde. faszinierend. hast du irgendeine andere erstaunliche Müll aus deinem Mund zu spitzen. Ich bin fasziniert von deiner erstaunlichen Intelligenz auf diesem Thema. es klingt, als ob du das ganze durch den Kindergarten studiert hast. wachsen, einen Hinweis."
Hope,Sarcasm,"Ich denke, ich werde für Gesetze drängen, um Krebschirurgie illegal zu machen. Schließlich sind Krebszellen auch menschliches Leben und mit modernen medizinischen Technologien könnten sie auch ein Mensch werden."
Not Hope,Sarcasm,"Vergessen Sie nicht, billiger zu füttern, nehmen Bestellungen besser, und sind schwerer zu treffen."
Not Hope,Sarcasm,@xNemoooo @McDonaldsUK @tasshx Sagen Sie schwören Sie nicht alle Bev s in Acapulco s direkt nach??
Not Hope,Sarcasm,"Gleiche bedeutet nicht gut, gerettet, oder sogar erleuchtet, Preppy. Versuchen Sie, aus der Hölle zu bekommen, indem Sie Gott sagen, dass Sie mit einem Billy Graham gleich sind."
Not Hope,Sarcasm,"ja, ja, ich bin völlig asinine. wie verbessert das deine Position? asinine oder nicht, du hast keine logische Wiedervereinigung. bitte erklären Sie, warum Sie nicht tithe. ted bundy tötete junge Frauen; Sie haben nicht tithe. erklären Sie den Unterschied entsprechend Ihrer Haltung an der Moral. Sie haben immer noch keine Antwort. Monate und Monate zu vorbereiten, und hier sind Sie immer noch unvorbereitet. Ihre Vorwand ist typischerweise menschliche. Sie verließen Ihre bedachte Antwort in Ihrem anderen Anzug. kommen. kommen. glauben wir wirklich, dass, wenn Sie einen Argument, dass Sie nicht? das Problem ist nicht meine asininity, aber dass Ihr Glaube an die Moral ist eine Illusion. einfache Frage: warum nicht tithe?"
Not Hope,Sarcasm,"Also, Glaube und Argument aus Unglauben. Wenn Sie es unmöglich finden, bitte sagen Sie genau, was Teil unmöglich ist. Dann könnte vielleicht ein tatsächlicher Wissenschaftler übernehmen.Major in der molekularen Biologie? Nicht einmal einen vollen Grad; nicht wie Sie gehen, etwas originelles zu tun."
Hope,Sarcasm,"Vielleicht kannst du mir ein Beispiel geben, damit ich in die ""Schule"" gehen kann?"
Not Hope,Sarcasm,Es war nicht als eine Beleidigung gemeint ... nur eine Aussage der Tatsachen. Ich habe wahrscheinlich so viele oder mehr Unzulänglichkeiten als Sie.
Not Hope,Sarcasm,"Ah?""scratching Kopf""Ich wachte gerade auf, was?Frauen Wahl, ihr Körper, Todesstrafe?ah ok gotch ya.emoticonXFrazzled"
Not Hope,Sarcasm,und auch Gott schrieb sie nicht. sie wurden von Männern geschrieben und es gab keine devine Inspiration. es gibt keinen Unterschied zwischen der Bibel und Margarita Mitchell ist mit dem Wind gegangen. oh ja ich bin traurig mit dem Wind gegangen zumindest bekommt Geschichte richtig.
Not Hope,Sarcasm,"Weißt ihr nicht? GOtt war der Grund, warum etwas, das vor 50 Jahren begraben wurde, das gleiche Alter ist wie ein Baby Vogel vor zwei Stunden gehäutt!Seriously, Sie nennen sich selbst Wissenschaftler und Sie nicht prostrate yourself und Gott für alles zu würdigen?Don't Sie WORSHIP und danken GOtt jedes Mal, wenn Ihre Mikrowelle anschaltet, wenn Sie den Knopf drücken?Seriously. emoticonXGood"
Not Hope,Sarcasm,"Kein Zweifel Matthew! Wir haben nur diese Lust, Homosexuelle zu töten. Wow, du hast es wirklich nailed. Wir sind eigentlich ziemlich gut organisiert zu. Darth Vader ist der Präsident des VA Kapitels zum Beispiel. Wir planen bald, eine Waffe zu starten, die tatsächlich nach Homosexuellen sucht....nicht, dass dies wichtig ist, weil jeder, den wir nicht mögen, wir in die Lager setzen. Wir haben ein nationales Treffen in einigen Monaten in Montana. Vielleicht, wenn Sie einen schwarzen Robe tragen und den geheimen Handschlag tun, werden sie nicht wissen, dass Sie Homosexuell sind, so dass Sie teilnehmen können. Wir haben wirklich gutes Essen an diesen Veranstaltungen."
Hope,Sarcasm,"Haben Sie nicht, dass andere seltsame warped Forum Ihre Post in jetzt?! Gehen Sie dort mit Ihrem Rat."
Not Hope,Sarcasm,Also kann eine Mutter ihr behindertes Kind töten? Das geht in den Sieg.
Hope,Sarcasm,"scherzt du? ich hoffe du scherzt. nein, es ist nicht logisch, an Gott zu glauben. zuerst, wie wir hierher gekommen sind? wir sind hier wegen der Evolution. diese Theorie erklärt es leicht. es sei denn, du trollst, du solltest den Unterschied zwischen einem Bild von Afrika und einem Bild aus dem Film Avatar sehen. wenn du ernsthaft versuchen, deinen Gott zu beweisen, indem du reale Dinge mit fiktionalen Dingen vergleichst, dann ja, du hast bewiesen, dass dein Gott fiktional ist. danke."
Not Hope,Sarcasm,"Ich liebe es, wenn 'Heitens' versuchen, mir zu sagen, was meine Religion tut oder nicht tut. emoticonxrolleyes ah ja, hier kommen die persönlichen Angriffe. Duo muss wieder verzweifelt werden."
Not Hope,Sarcasm,"Nun, jetzt... sollten Sie wissen, dass Heuchelei falsch ist...außer wenn ich mich damit befassen!"
Not Hope,Sarcasm,"Ich bin nicht daran interessiert, wer nicht auf Sie schlagen. Möchten Sie einen hässlichen, brennenden, homosexuellen Cellulite blubber-wench auf Sie für drei Jahre schlagen oder nicht??? Oder vielleicht ein Pod dieser Wale alle auf Sie schlagen?? Für die Aufzeichnung, Homosexuelle machen normalen Männern die Haut klettern, und nicht auf eine gute Weise. So halten Sie die spirituell-angeforderten Heiden aus den Männern Baracken, und aus ihren Duschen. Nur weil Sie und der Rest der pro-gay-Kriege denkt, dass Art der verdorbenen Aktivität ist ok bedeutet nicht, dass der Rest der Gesellschaft tut."
Not Hope,Sarcasm,"jt, france hat Gesundheitsfürsorge für alle und eine Universitätsbildung, wenn Sie die Klasse übergeben können. Sind sie auch, eine Gruppe von ""sozialistischen Schweinen""? scheint mir, Sie haben eine Art boogie Mann in Ihrem Kopf, d.h. überzeugende Überzeugungen, nicht alles auf Grund der Vernunft."
Not Hope,Sarcasm,Die Frage im Beitrag war über Länder nicht Staaten die USA. Also was hat Ihre Antwort mit dem Thema dieses Beitrags zu tun? Abgesehen von nichts!
Not Hope,Sarcasm,"Ich liebe, wie viele der weiten Rechte lieben, zu sagen, dass sie unabhängig sind, weil sie mit vielleicht einer republikanischen Frage nicht einverstanden sind, oder weil sie eine allgemeine Misstraue auf die Regierung haben ... doch auf jeder Frage (außer vielleicht der eine) und jeder Stimme sind sie lock und Schritt mit den Konservativen. michael savage ist ein weit rechts konservativer Kommentator. das ist, was er ist. Sie können sagen, weil alle seine Zuhörer sind weit rechts konservative, oder unabhängige, die in die Kategorie passen, die ich oben beschrieben. und Sie können auch sagen, weil er entweder auf der konservativen Seite jeder einzelnen Frage fällt, oder sogar weiter rechts auf der konservativen Seite jeder Frage. während ich sicher bin, es hilft gesunden Konservativen nachts zu denken, dass Hass-Mangel ist nicht ihrer Art, ich habe Angst, es ist einfach nicht wahr."
Hope,Sarcasm,"erinnere dich immer an deine Alexa danken, falls die AI einen Tag übernehmen"
Not Hope,Sarcasm,"ah ja, natürlich regnet es im Sommer, wenn ich zu Fuß bin."
Not Hope,Sarcasm,"Ich bin mir nicht sicher, was die Schwelle für Zzerdom ist, aber ich fürchte ich habe es überschritten."
Not Hope,Sarcasm,"Was für ein Schock. Das hat nichts mit dem zu tun, was ich geschrieben habe."
Not Hope,Sarcasm,Sie werden nie das Problem Comic-Relief haben. Sie werden immer jugendlich sein.
Not Hope,Sarcasm,"Die Frage ist, ob die Hunde geschützt werden wollen? Diese armen Hunde, für alle, die Sie wissen, sie mögen den Tod vorziehen."
Not Hope,Sarcasm,Für diese Regierung sind Keynesian-Wirtschaftstheorien konservativ und die FDR war ein Schläger.
Not Hope,Sarcasm,"Ich liebe es, meine Mutter früh morgens anzurufen und sie aufzuwachen, ich nehme es als Rückzahlung für alle Zeiten, die sie mir nie ins Bett gelassen hat"
Not Hope,Sarcasm,"Nun, solange Sie die Beweise ignorieren, warum brauchen Sie Beweise. Blinde Glaube funktioniert einfach gut."
Not Hope,Sarcasm,"Nun, das ist eine dumme Aussage. Dumm genug, dass ich nicht einmal meinen Kopf um es herum umwickeln kann und einen richtigen Vergleich machen kann."
Not Hope,Sarcasm,"... sagte ein ""bestimmter Edler""... Kein Wunder, dass du einen solchen Geruch verursachst, Trebor. Und du beschuldigst Easyrider der Manipulation der Schrift?"
Not Hope,Sarcasm,"Und das würde dich zumjenigen machen, der den Mord unserer zukünftigen Generation fördert."
Not Hope,Sarcasm,"Ich danke Ihnen, dass Sie meine Aussagen miteinander verknüpft haben, in denen ich Ihre Frage beantwortet habe. Natürlich können Sie, jemand, der nichts glaubt, über die Beseitigung von Religionen sprechen, und trotzdem ruft man gegen wahrgenommene Verfolgungen durch Christen."
Hope,Sarcasm,"Unser Herr und Erlöser, offener Ozean, hat uns alle wieder gerettet."
Not Hope,Sarcasm,"Ja, die Universität ist ganz wahrscheinlich die meisten sinnlos. Ich werde nie verstehen, warum Leute scheinen zu denken, dass die bloße Präsenz einer Waffe macht es irgendwie wahrscheinlicher, dass es ein Problem geben wird. Ich habe viele und viele Waffen, gerade hier in meinem Haus. Letztes Jahr war die Mordrate in meinem Haus 0. Ich denke, dass wir am meisten wahrscheinlich das gleiche dieses Jahr halten können. An welcher Schule sind Sie?"
Hope,Sarcasm,"@Mythical So besorgt über ihn. Aber wenn Sie suchen, ihn zu retten, basierend auf der Topographie würde ich sagen, es ist irgendwo an der Ostküste. Vielleicht die Carolinas?"
Not Hope,Sarcasm,"Warum? das macht nicht viel Sinn. wir sagen, Gas gehen über $2 während einer Periode der relativ niedrigen Nachfrage. Warum würde Gas stabalize, dass ein Preis, der niedriger ist, als es war, während einer Periode der niedrigen Nachfrage, wenn hohe Nachfrage mit Anstieg des Verbrauchs in China und der industralisierten Welt als Ganzes projiziert wird? Oh ja, ich frage die Person, die denkt, dass CDs sind gute Investitionen während Perioden der niedrigen Inflation. emoticonxrolleyes"
Not Hope,Sarcasm,"Ich denke, Sie sind ein dunkler Weisheit, die denkt, Nero hatte eine schöne Hochzeit mit seinem Katamite Sklaven 'mit einer Zeremonie und alles'emoticonXLove http://en.wikipedia.org/wiki/Ptolemaic_dynasty 'Alle männlichen Herrscher der Dynastie nahmen den Namen Ptolemy. Ptolemaic Königinnen, von denen einige waren die Schwestern ihrer Ehemänner, wurden in der Regel Cleopatra, Arsinoe oder Berenice genannt. 'Die Ptolemy tatsächlich offiziell heiratete dort Schwestern (mit einer Zeremonie und alles) so nach der XXXXX, dass Excaliber ist dies ist eine tolle Nachricht für incestuale Ehegeber. Danke dunkler Weisheit lol"
Not Hope,Sarcasm,"Ich sehe,... also (für dich) ist es nicht so, dass das Kind ein Recht auf sein Leben hat oder so etwas. Danke für die Klarstellung."
Hope,Sarcasm,"Oh, ich sehe, dass Easyrider will, dass ich noch mehr posten möchte. Alles für meinen alten Freund EZ!"
Not Hope,Sarcasm,"Aber ich nehme an, dass dies alles auch meine/unsere Schuld ist. Huh Brady?Erstens war alles Gewalt in Mexiko meine/unsere Schuld, bis es herausgefunden wurde, dass die ATF tatsächlich Waffen in Mexiko fuhr, jetzt ist das, was ein Schlammball in Norwegen tut, meine Schuld."
Not Hope,Sarcasm,"Ok, wenn Max ein Hillbilly für seine punctuation ist, dann Sie, Ray, streben nach Hillbilly-Haupt! Max schlagen einige Typos, während Sie über die Intelligenz der anderen sprechen war lustig . Sie gehen nach jemanden Englisch ist einfach lächerlich! Wissen Sie wirklich nicht, wie schrecklich Ihr Schreiben ist?"
Hope,Sarcasm,"Die Hilfe von jemandem? Über wen Sie sprechen? Es war nicht viel Arbeit überhaupt. Eine einfache Suche. Ich zeige es Ihnen in der Hoffnung, dass Sie etwas neues Material bekommen. Das und die Tatsache, dass ich lieber nicht sehen Sie verboten."
Not Hope,Sarcasm,"Oh, wirklich? Übersetzung: Die einzigen Änderungsanträge, die steigen und fallen, sind die, die ich will."
Not Hope,Sarcasm,"oh ja, es ist ein echtes Gehirn teaser. Wer hätte gedacht, dass es für jemanden möglich ist, zwei Eltern zu haben?"
Not Hope,Sarcasm,"Ja, also wenn ich auf meinem Mathematiktest ""Die Antwort ist 7, weil mein Gott so sagt"" und der Lehrer markiert es falsch, ist er der XXXXX?"
Not Hope,Sarcasm,babe stop ich bin dabei zu gleek
Not Hope,Sarcasm,"Cool dann, wenn Sie eine Firma, die Ihre 401k mit Sitz in New York hält, bedeutet das, dass sie Ihre Investition in virginia ehren müssen? Bedeutet das auch, dass Sie nicht außerhalb von virginia fahren können, weil die umliegenden Staaten nicht Ihre Führerschein ehren müssen?"
Not Hope,Sarcasm,"Weißt du, ich habe diese BS von dir ziemlich oft gesehen. Ist dein Leben sauer? Musst du andere Menschen Leben so miserable wie du kannst machen, nur damit du den Tag durchziehen kannst?"
Not Hope,Sarcasm,"Sie zitieren einen anderen schrecklichen Film von Michael the Hutt? Mann, es braucht nicht einen süchtig Forscher, der zwei Wochen mit tausend Tassen Kaffee aufgehoben ist, um zu wissen, dass Michael Moore einer der linkesten, anti-geschützten, Truppen-bashing-Produzenten in Hollywood ist. Und was hat dieser fette Unwissenheit? Er ist ignorant. Alles, was er hat, ist eine Meinung, genau wie du und ich. Die Tatsache, dass er eine Berühmtheit macht ihn nicht mehr wissenswert als jeder andere, vor allem, wenn man bedenkt, dass er denkt, dass er der göttliche Prophet des Universums ist, und dass alles in Ordnung und schön sein wird, wenn man tut, was er sagt, dass wir tun sollten."
Not Hope,Sarcasm,"Sie scheinen eine glatte Antwort auf eine komplizierte Frage zu verlangen - also wie wäre es mit diesem:Frage: War Stalin ein Kommunist?Antwort: Das ist, was er sagte, dass er war. Hoffentlich ist dies glib und vacuous genug, um Ihren anspruchsvollen Standards zu entsprechen."
Hope,Sarcasm,"Ich hoffte, dass das Sprechen in Alten Englischen ihm helfen würde, zu verstehen."
Not Hope,Sarcasm,"Guter Punkt hier, weil die Medien niemals Rechten beleidigen....emoticonXRolleyes Ich glaube nicht, dass jemand verleugnet, dass Imus' Kommentare geschmacklos und beleidigend waren. Der Punkt, der hier gemacht wird, ist, dass er das Recht hat, solche Kommentare zu machen. Er hat niemanden diskriminiert. Er sagte einfach etwas Dummes. Wenn dies ein Verbrechen werden soll, würden wir alle eingesperrt werden."
Not Hope,Sarcasm,"Winston, ich muss meine Unwissenheit bekennen; vor diesem, dachte ich, Ihre Beiträge könnten möglicherweise nicht mehr asinine bekommen. Ich sehe, dass ich daran falsch war. Sie haben einen Ersatzreifen nur im Falle? Nur im Falle eines Autounfalls? Im Falle, dass Ihr Motor explodiert? Im Falle, dass jemand Ihr Auto entführt? Herzlichen Glückwunsch, Winston. Sie haben weitgehend den am meisten asinine Beitrag gemacht, den ich je gesehen habe. Und Sie sind die am meisten asinine Person, die ich je gesehen habe."
Not Hope,Sarcasm,Balderdash! Atheismus ist keine Wissenschaft. Das ist Nonsense. Und die Wissenschaft ist atheistisch auf die gleiche Weise wie die Leitungstechnik.
Hope,Sarcasm,"http://66.221.20.150/evidence/hamilt...smok/file2.htm http://66.221.20.150/forum/files/preg.htm http://www.lcolby.com/b-chap8.htm http://www.lcolby.com/b-chap10.htm http://www.lcolby.com/b-chap12.htm http://www.lcolby.com/b-chap13.htm Geez, was für eine Migräne!Meine Kopf schmerzt von all dem Lesen, fallen! Versuchen Sie chptr13 vor Kapitel12 zu lesen, es wird Ihnen helfen."
Not Hope,Sarcasm,"meine Nachbarn taunting mich außerhalb meines Bürofensters durch Kühlen in ihrer Whirlpool jeden ferngewöhnlich warmen Tag, während ich hier auf Rückwärts-zu- Rückwärts Zooms den ganzen Tag jeden Tag sitzen. die Mutsamkeit ist erstaunlich."
Hope,Sarcasm,Ich bin in Kanada so wie Happy 4rth?
Not Hope,Sarcasm,"Und ich vermute durch Ihre falsch informierten Posts, dass Sie vorher nicht hoch gewesen sind. Haben Sie vor kurzem einen Film mit dem Namen Reefer Madness gesehen?"
Not Hope,Sarcasm,"So hat die ""Origin of Species"" mehr Informationen für theistische Evolutionisten als die Bibel? Glaubt die theistische Evolution an Satan?"
Not Hope,Sarcasm,"Also würdest du die Mutter haben, alle vier Fötus sterben stattdessen. Nun, nur solange dein Gewissen klar ist."
